identifier,day,weight
A1,DAY0,300
A1,DAY7,280
A2,DAY0,300
A2,DAY7,250
A3,DAY0,210
A3,DAY7,130
A4,DAY0,350
A4,DAY7,200
A5,DAY0,250
A5,DAY7,210
B1,DAY0,250
B1,DAY7,310
B2,DAY0,300
B2,DAY7,220
B3,DAY0,210
B3,DAY7,250
B4,DAY0,350
B4,DAY7,240
B5,DAY0,180
B5,DAY7,210
C1,DAY0,350
C1,DAY7,250
C2,DAY0,320
C2,DAY7,160
C3,DAY0,310
C3,DAY7,290
C4,DAY0,300
C4,DAY7,260
C5,DAY0,290
C5,DAY7,220
A1,DAY14,280
C1,DAY14,240
A4,DAY14,160
B4,DAY14,270
B1,DAY14,250
A3,DAY14,120
C2,DAY14,160
C5,DAY14,240
B3,DAY14,220
C3,DAY14,250
B5,DAY14,300
A2,DAY14,210
C4,DAY14,190
B2,DAY14,250
A5,DAY14,200