treatment,repetition,date,length_in_cm
TA,R1,2024-07-31,20.0
TA,R1,2024-07-31,23.0
TA,R1,2024-07-31,19.0
TA,R1,2024-07-31,16.0
TA,R1,2024-08-07,17.0
TA,R1,2024-08-07,19.0
TA,R1,2024-08-07,20.0
TA,R1,2024-08-07,26.0
TA,R1,2024-08-14,18.0
TA,R1,2024-08-14,19.0
TA,R1,2024-08-14,21.0
TA,R1,2024-08-14,26.0
TA,R2,2024-07-31,17.0
TA,R2,2024-07-31,18.0
TA,R2,2024-07-31,16.0
TA,R2,2024-07-31,17.0
TA,R2,2024-08-07,16.5
TA,R2,2024-08-07,20.0
TA,R2,2024-08-07,18.0
TA,R2,2024-08-07,24.0
TA,R2,2024-08-14,24.0
TA,R2,2024-08-14,20.0
TA,R2,2024-08-14,17.0
TA,R2,2024-08-14,19.0
TA,R3,2024-07-31,21.0
TA,R3,2024-07-31,17.0
TA,R3,2024-07-31,19.0
TA,R3,2024-07-31,18.0
TA,R3,2024-08-07,15.0
TA,R3,2024-08-07,16.5
TA,R3,2024-08-07,15.0
TA,R3,2024-08-07,19.0
TA,R3,2024-08-14,16.0
TA,R3,2024-08-14,17.0
TA,R3,2024-08-14,20.0
TA,R3,2024-08-14,15.0
TA,R4,2024-07-31,16.0
TA,R4,2024-07-31,20.0
TA,R4,2024-07-31,19.0
TA,R4,2024-07-31,19.0
TA,R4,2024-08-07,16.5
TA,R4,2024-08-07,21.0
TA,R4,2024-08-07,17.0
TA,R4,2024-08-07,18.0
TA,R4,2024-08-14,19.0
TA,R4,2024-08-14,17.0
TA,R4,2024-08-14,17.0
TA,R4,2024-08-14,21.0
TA,R5,2024-07-31,17.0
TA,R5,2024-07-31,17.0
TA,R5,2024-07-31,20.0
TA,R5,2024-07-31,19.0
TA,R5,2024-08-07,18.5
TA,R5,2024-08-07,18.0
TA,R5,2024-08-07,20.5
TA,R5,2024-08-07,23.0
TA,R5,2024-08-14,23.0
TA,R5,2024-08-14,18.0
TA,R5,2024-08-14,19.0
TA,R5,2024-08-14,17.0
TB,R1,2024-07-31,19.0
TB,R1,2024-07-31,17.0
TB,R1,2024-07-31,24.0
TB,R1,2024-07-31,17.0
TB,R1,2024-08-07,23.5
TB,R1,2024-08-07,20.0
TB,R1,2024-08-07,21.0
TB,R1,2024-08-07,24.0
TB,R1,2024-08-14,21.0
TB,R1,2024-08-14,19.0
TB,R1,2024-08-14,20.0
TB,R1,2024-08-14,24.0
TB,R2,2024-07-31,23.0
TB,R2,2024-07-31,17.0
TB,R2,2024-07-31,23.0
TB,R2,2024-07-31,16.0
TB,R2,2024-08-07,17.5
TB,R2,2024-08-07,20.0
TB,R2,2024-08-07,21.0
TB,R2,2024-08-07,25.0
TB,R2,2024-08-14,20.0
TB,R2,2024-08-14,19.0
TB,R2,2024-08-14,17.0
TB,R2,2024-08-14,27.0
TB,R3,2024-07-31,20.0
TB,R3,2024-07-31,18.0
TB,R3,2024-07-31,16.0
TB,R3,2024-07-31,18.0
TB,R3,2024-08-07,18.0
TB,R3,2024-08-07,18.0
TB,R3,2024-08-07,16.5
TB,R3,2024-08-07,23.0
TB,R3,2024-08-14,20.0
TB,R3,2024-08-14,23.0
TB,R3,2024-08-14,19.0
TB,R3,2024-08-14,20.0
TB,R4,2024-07-31,18.0
TB,R4,2024-07-31,16.0
TB,R4,2024-07-31,20.0
TB,R4,2024-07-31,19.0
TB,R4,2024-08-07,17.0
TB,R4,2024-08-07,18.5
TB,R4,2024-08-07,19.0
TB,R4,2024-08-07,24.0
TB,R4,2024-08-14,17.0
TB,R4,2024-08-14,19.0
TB,R4,2024-08-14,25.0
TB,R4,2024-08-14,25.0
TB,R5,2024-07-31,17.0
TB,R5,2024-07-31,16.0
TB,R5,2024-07-31,19.0
TB,R5,2024-07-31,16.0
TB,R5,2024-08-07,20.0
TB,R5,2024-08-07,19.5
TB,R5,2024-08-07,17.5
TB,R5,2024-08-07,17.0
TB,R5,2024-08-14,21.0
TB,R5,2024-08-14,22.0
TB,R5,2024-08-14,21.0
TB,R5,2024-08-14,27.0
TC,R1,2024-07-31,21.0
TC,R1,2024-07-31,16.0
TC,R1,2024-07-31,24.0
TC,R1,2024-07-31,14.0
TC,R1,2024-08-07,23.0
TC,R1,2024-08-07,19.0
TC,R1,2024-08-07,19.0
TC,R1,2024-08-07,22.0
TC,R1,2024-08-14,22.0
TC,R1,2024-08-14,29.0
TC,R1,2024-08-14,18.0
TC,R1,2024-08-14,22.5
TC,R2,2024-07-31,16.0
TC,R2,2024-07-31,20.0
TC,R2,2024-07-31,23.0
TC,R2,2024-07-31,22.0
TC,R2,2024-08-07,20.0
TC,R2,2024-08-07,18.0
TC,R2,2024-08-07,18.0
TC,R2,2024-08-07,17.0
TC,R2,2024-08-14,16.5
TC,R2,2024-08-14,17.5
TC,R2,2024-08-14,18.0
TC,R2,2024-08-14,20.0
TC,R3,2024-07-31,19.0
TC,R3,2024-07-31,26.0
TC,R3,2024-07-31,19.0
TC,R3,2024-07-31,20.0
TC,R3,2024-08-07,25.0
TC,R3,2024-08-07,18.0
TC,R3,2024-08-07,21.0
TC,R3,2024-08-07,20.0
TC,R3,2024-08-14,19.0
TC,R3,2024-08-14,16.5
TC,R3,2024-08-14,18.0
TC,R3,2024-08-14,27.0
TC,R4,2024-07-31,16.0
TC,R4,2024-07-31,20.0
TC,R4,2024-07-31,21.0
TC,R4,2024-07-31,16.0
TC,R4,2024-08-07,20.0
TC,R4,2024-08-07,20.0
TC,R4,2024-08-07,18.0
TC,R4,2024-08-07,17.0
TC,R4,2024-08-14,20.5
TC,R4,2024-08-14,21.5
TC,R4,2024-08-14,21.5
TC,R4,2024-08-14,27.0
TC,R5,2024-07-31,16.0
TC,R5,2024-07-31,18.0
TC,R5,2024-07-31,19.0
TC,R5,2024-07-31,27.0
TC,R5,2024-08-07,19.0
TC,R5,2024-08-07,23.0
TC,R5,2024-08-07,20.0
TC,R5,2024-08-07,19.0
TC,R5,2024-08-14,20.0
TC,R5,2024-08-14,18.5
TC,R5,2024-08-14,19.0
TC,R5,2024-08-14,23.0
TA,R1,2024-08-21,20
TA,R1,2024-08-21,17
TA,R1,2024-08-21,18
TA,R1,2024-08-21,27
TC,R1,2024-08-21,19
TC,R1,2024-08-21,23
TC,R1,2024-08-21,19
TC,R1,2024-08-21,20
TA,R4,2024-08-21,21
TA,R4,2024-08-21,17.5
TA,R4,2024-08-21,18
TA,R4,2024-08-21,17
TB,R4,2024-08-21,19.5
TB,R4,2024-08-21,25.5
TB,R4,2024-08-21,24.5
TB,R4,2024-08-21,17
TB,R1,2024-08-21,21
TB,R1,2024-08-21,21.5
TB,R1,2024-08-21,19
TB,R1,2024-08-21,24
TA,R3,2024-08-21,20
TA,R3,2024-08-21,17
TA,R3,2024-08-21,16
TA,R3,2024-08-21,15.5
TC,R2,2024-08-21,20.5
TC,R2,2024-08-21,18.5
TC,R2,2024-08-21,17.5
TC,R2,2024-08-21,18
TC,R5,2024-08-21,23.5
TC,R5,2024-08-21,20
TC,R5,2024-08-21,19
TC,R5,2024-08-21,19
TB,R3,2024-08-21,19
TB,R3,2024-08-21,21
TB,R3,2024-08-21,23
TB,R3,2024-08-21,20
TC,R3,2024-08-21,21.5
TC,R3,2024-08-21,18
TC,R3,2024-08-21,18.5
TC,R3,2024-08-21,21
TB,R5,2024-08-21,22
TB,R5,2024-08-21,22.5
TB,R5,2024-08-21,27
TB,R5,2024-08-21,21
TA,R2,2024-08-21,16.5
TA,R2,2024-08-21,18.5
TA,R2,2024-08-21,20.5
TA,R2,2024-08-21,23.5
TC,R4,2024-08-21,19
TC,R4,2024-08-21,17.5
TC,R4,2024-08-21,18
TC,R4,2024-08-21,17
TB,R2,2024-08-21,16.5
TB,R2,2024-08-21,17
TB,R2,2024-08-21,19
TB,R2,2024-08-21,28
TA,R5,2024-08-21,16
TA,R5,2024-08-21,18
TA,R5,2024-08-21,17
TA,R5,2024-08-21,20
TA,R1,2024-08-28,20
TA,R1,2024-08-28,18
TA,R1,2024-08-28,18
TA,R1,2024-08-28,27.5
TC,R1,2024-08-28,20
TC,R1,2024-08-28,24
TC,R1,2024-08-28,16
TC,R1,2024-08-28,19
TA,R4,2024-08-28,17.5
TA,R4,2024-08-28,18
TA,R4,2024-08-28,17
TA,R4,2024-08-28,21
TB,R4,2024-08-28,20
TB,R4,2024-08-28,17
TB,R4,2024-08-28,26
TB,R4,2024-08-28,25
TB,R1,2024-08-28,19
TB,R1,2024-08-28,21
TB,R1,2024-08-28,24.5
TB,R1,2024-08-28,21
TA,R3,2024-08-28,17.5
TA,R3,2024-08-28,16.5
TA,R3,2024-08-28,18
TA,R3,2024-08-28,20
TC,R2,2024-08-28,17
TC,R2,2024-08-28,15.5
TC,R2,2024-08-28,18.5
TC,R2,2024-08-28,21
TC,R5,2024-08-28,19
TC,R5,2024-08-28,20
TC,R5,2024-08-28,19.5
TC,R5,2024-08-28,24
TB,R3,2024-08-28,23.5
TB,R3,2024-08-28,20
TB,R3,2024-08-28,21.5
TB,R3,2024-08-28,19
TC,R3,2024-08-28,18.5
TC,R3,2024-08-28,22
TC,R3,2024-08-28,18.5
TC,R3,2024-08-28,21.5
TB,R5,2024-08-28,23.5
TB,R5,2024-08-28,27
TB,R5,2024-08-28,22
TB,R5,2024-08-28,21.5
TA,R2,2024-08-28,20.5
TA,R2,2024-08-28,19
TA,R2,2024-08-28,17
TA,R2,2024-08-28,24.5
TC,R4,2024-08-28,19
TC,R4,2024-08-28,17.5
TC,R4,2024-08-28,18
TC,R4,2024-08-28,27
TB,R2,2024-08-28,19
TB,R2,2024-08-28,17
TB,R2,2024-08-28,17
TB,R2,2024-08-28,27.5
TA,R5,2024-08-28,17.5
TA,R5,2024-08-28,20.5
TA,R5,2024-08-28,18
TA,R5,2024-08-28,16