index,date,treatment,repetition,length_in_cm
0,2024-07-31,TA,R1,20.0
1,2024-07-31,TA,R1,23.0
2,2024-07-31,TA,R1,19.0
3,2024-07-31,TA,R1,16.0
4,2024-07-31,TA,R2,17.0
5,2024-07-31,TA,R2,18.0
6,2024-07-31,TA,R2,16.0
7,2024-07-31,TA,R2,17.0
8,2024-07-31,TA,R3,21.0
9,2024-07-31,TA,R3,17.0
10,2024-07-31,TA,R3,19.0
11,2024-07-31,TA,R3,18.0
12,2024-07-31,TA,R4,16.0
13,2024-07-31,TA,R4,20.0
14,2024-07-31,TA,R4,19.0
15,2024-07-31,TA,R4,19.0
16,2024-07-31,TA,R5,17.0
17,2024-07-31,TA,R5,17.0
18,2024-07-31,TA,R5,20.0
19,2024-07-31,TA,R5,19.0
20,2024-07-31,TB,R1,19.0
21,2024-07-31,TB,R1,17.0
22,2024-07-31,TB,R1,24.0
23,2024-07-31,TB,R1,17.0
24,2024-07-31,TB,R2,23.0
25,2024-07-31,TB,R2,17.0
26,2024-07-31,TB,R2,23.0
27,2024-07-31,TB,R2,16.0
28,2024-07-31,TB,R3,20.0
29,2024-07-31,TB,R3,18.0
30,2024-07-31,TB,R3,16.0
31,2024-07-31,TB,R3,18.0
32,2024-07-31,TB,R4,18.0
33,2024-07-31,TB,R4,16.0
34,2024-07-31,TB,R4,20.0
35,2024-07-31,TB,R4,19.0
36,2024-07-31,TB,R5,17.0
37,2024-07-31,TB,R5,16.0
38,2024-07-31,TB,R5,19.0
39,2024-07-31,TB,R5,16.0
40,2024-07-31,TC,R1,21.0
41,2024-07-31,TC,R1,16.0
42,2024-07-31,TC,R1,24.0
43,2024-07-31,TC,R1,14.0
44,2024-07-31,TC,R2,16.0
45,2024-07-31,TC,R2,20.0
46,2024-07-31,TC,R2,23.0
47,2024-07-31,TC,R2,22.0
48,2024-07-31,TC,R3,19.0
49,2024-07-31,TC,R3,26.0
50,2024-07-31,TC,R3,19.0
51,2024-07-31,TC,R3,20.0
52,2024-07-31,TC,R4,16.0
53,2024-07-31,TC,R4,20.0
54,2024-07-31,TC,R4,21.0
55,2024-07-31,TC,R4,16.0
56,2024-07-31,TC,R5,16.0
57,2024-07-31,TC,R5,18.0
58,2024-07-31,TC,R5,19.0
59,2024-07-31,TC,R5,27.0
60,2024-08-07,TA,R1,17.0
61,2024-08-07,TA,R1,19.0
62,2024-08-07,TA,R1,20.0
63,2024-08-07,TA,R1,26.0
64,2024-08-14,TC,R1,22.0
65,2024-08-14,TC,R1,29.0
66,2024-08-14,TC,R1,18.0
67,2024-08-14,TC,R1,22.5
68,2024-08-07,TA,R4,16.5
69,2024-08-07,TA,R4,21.0
70,2024-08-07,TA,R4,17.0
71,2024-08-07,TA,R4,18.0
72,2024-08-07,TB,R4,17.0
73,2024-08-07,TB,R4,18.5
74,2024-08-07,TB,R4,19.0
75,2024-08-07,TB,R4,24.0
76,2024-08-07,TB,R1,23.5
77,2024-08-07,TB,R1,20.0
78,2024-08-07,TB,R1,21.0
79,2024-08-07,TB,R1,24.0
80,2024-08-07,TA,R3,15.0
81,2024-08-07,TA,R3,16.5
82,2024-08-07,TA,R3,15.0
83,2024-08-07,TA,R3,19.0
84,2024-08-14,TC,R2,16.5
85,2024-08-14,TC,R2,17.5
86,2024-08-14,TC,R2,18.0
87,2024-08-14,TC,R2,20.0
88,2024-08-14,TC,R5,20.0
89,2024-08-14,TC,R5,18.5
90,2024-08-14,TC,R5,19.0
91,2024-08-14,TC,R5,23.0
92,2024-08-07,TA,R5,18.5
93,2024-08-07,TA,R5,18.0
94,2024-08-07,TA,R5,20.5
95,2024-08-07,TA,R5,23.0
96,2024-08-07,TB,R2,17.5
97,2024-08-07,TB,R2,20.0
98,2024-08-07,TB,R2,21.0
99,2024-08-07,TB,R2,25.0
100,2024-08-14,TC,R4,20.5
101,2024-08-14,TC,R4,21.5
102,2024-08-14,TC,R4,21.5
103,2024-08-14,TC,R4,27.0
104,2024-08-07,TA,R2,16.5
105,2024-08-07,TA,R2,20.0
106,2024-08-07,TA,R2,18.0
107,2024-08-07,TA,R2,24.0
108,2024-08-07,TB,R5,20.0
109,2024-08-07,TB,R5,19.5
110,2024-08-07,TB,R5,17.5
111,2024-08-07,TB,R5,17.0
112,2024-08-14,TC,R3,19.0
113,2024-08-14,TC,R3,16.5
114,2024-08-14,TC,R3,18.0
115,2024-08-14,TC,R3,27.0
116,2024-08-07,TB,R3,18.0
117,2024-08-07,TB,R3,18.0
118,2024-08-07,TB,R3,16.5
119,2024-08-07,TB,R3,23.0
120,2024-08-14,TA,R1,18.0
121,2024-08-14,TA,R1,19.0
122,2024-08-14,TA,R1,21.0
123,2024-08-14,TA,R1,26.0
124,2024-08-07,TC,R1,23.0
125,2024-08-07,TC,R1,19.0
126,2024-08-07,TC,R1,19.0
127,2024-08-07,TC,R1,22.0
128,2024-08-14,TA,R4,19.0
129,2024-08-14,TA,R4,17.0
130,2024-08-14,TA,R4,17.0
131,2024-08-14,TA,R4,21.0
132,2024-08-14,TB,R4,17.0
133,2024-08-14,TB,R4,19.0
134,2024-08-14,TB,R4,25.0
135,2024-08-14,TB,R4,25.0
136,2024-08-14,TB,R1,21.0
137,2024-08-14,TB,R1,19.0
138,2024-08-14,TB,R1,20.0
139,2024-08-14,TB,R1,24.0
140,2024-08-14,TA,R3,16.0
141,2024-08-14,TA,R3,17.0
142,2024-08-14,TA,R3,20.0
143,2024-08-14,TA,R3,15.0
144,2024-08-07,TC,R2,20.0
145,2024-08-07,TC,R2,18.0
146,2024-08-07,TC,R2,18.0
147,2024-08-07,TC,R2,17.0
148,2024-08-07,TC,R5,19.0
149,2024-08-07,TC,R5,23.0
150,2024-08-07,TC,R5,20.0
151,2024-08-07,TC,R5,19.0
152,2024-08-14,TB,R3,20.0
153,2024-08-14,TB,R3,23.0
154,2024-08-14,TB,R3,19.0
155,2024-08-14,TB,R3,20.0
156,2024-08-07,TC,R3,25.0
157,2024-08-07,TC,R3,18.0
158,2024-08-07,TC,R3,21.0
159,2024-08-07,TC,R3,20.0
160,2024-08-14,TB,R5,21.0
161,2024-08-14,TB,R5,22.0
162,2024-08-14,TB,R5,21.0
163,2024-08-14,TB,R5,27.0
164,2024-08-14,TA,R2,24.0
165,2024-08-14,TA,R2,20.0
166,2024-08-14,TA,R2,17.0
167,2024-08-14,TA,R2,19.0
168,2024-08-07,TC,R4,20.0
169,2024-08-07,TC,R4,20.0
170,2024-08-07,TC,R4,18.0
171,2024-08-07,TC,R4,17.0
172,2024-08-14,TB,R2,20.0
173,2024-08-14,TB,R2,19.0
174,2024-08-14,TB,R2,17.0
175,2024-08-14,TB,R2,27.0
176,2024-08-14,TA,R5,23.0
177,2024-08-14,TA,R5,18.0
178,2024-08-14,TA,R5,19.0
179,2024-08-14,TA,R5,17.0
